Username;Attempt_number;Sequence;Seq_length;Time_to_complete;PatternLength;Avg_speed;Highest_pressure;Lowest_pressure;HandNum;FingerNum
TestUser,1,1-2-3-5,4,761455208,1167.8643,1.5337267E-6,0.5137255,0.39607847,2,1
TestUser,2,1-2-3-4,4,627672395,1546.6487,2.464102E-6,0.32941177,0.3137255,2,1
TestUser,3,1-2-3-6,4,597596875,1034.5999,1.7312672E-6,0.34509805,0.31764707,2,1
TestUser,4,1-2-3-7,4,880297395,1721.9543,1.9561053E-6,0.37647063,0.29803923,2,1
TestUser,5,1-2-3-9,4,679362500,1260.8186,1.8558849E-6,0.34509805,0.30588236,2,1
TestUser,6,1-2-3-8,4,664752604,1453.4866,2.1865076E-6,0.34117648,0.31764707,2,1
TestUser,7,1-2-3-10,4,641791667,1890.471,2.9456146E-6,0.34117648,0.18431373,2,1
TestUser,8,10-11-12-9,4,648577604,1002.20044,1.5452283E-6,0.46274513,0.27058825,2,1
TestUser,9,1-2-3-5,4,677476042,1145.4885,1.6908178E-6,0.4784314,0.2784314,2,1
TestUser,10,1-2-3-6,4,1618615625,1131.051,6.987768E-7,0.3372549,0.30588236,2,1
TestUser,11,1-2-3-4,4,783241146,1514.8606,1.934092E-6,0.32941177,0.29803923,2,1
